algo,lr,loss
supervised,learning_rate:1.0,0.46318760000000003
supervised,learning_rate:0.3,0.4875858
supervised,learning_rate:3.0,0.4881702
supervised,learning_rate:10.0,0.5173951999999999
supervised,learning_rate:0.1,0.5256668
cover:16:psi:0:nounif:dr,learning_rate:1.0,0.5298068
cover:8:psi:0:nounif:dr,learning_rate:1.0,0.5298068
cover:1:nounif:dr,learning_rate:1.0,0.5308930000000001
epsilon:0:dr,learning_rate:1.0,0.5308930000000001
cover:4:psi:0:nounif:dr,learning_rate:1.0,0.5331758
cover:1:nounif:dr,learning_rate:3.0,0.5554418
epsilon:0:dr,learning_rate:3.0,0.5554418
cover:4:psi:0.01:nounif:dr,learning_rate:1.0,0.5605082
bag:8:greedify:mtr,learning_rate:1.0,0.5622548
cover:4:psi:0:nounif:dr,learning_rate:0.3,0.5675646
epsilon:0:dr,learning_rate:0.1,0.5676642
cover:1:nounif:dr,learning_rate:0.1,0.5676642
cover:16:psi:0:nounif:dr,learning_rate:0.1,0.5694884
epsilon:0:mtr,learning_rate:3.0,0.5734469999999999
cover:1:nounif:mtr,learning_rate:3.0,0.5734469999999999
cover:4:psi:0:nounif:dr,learning_rate:3.0,0.5757382
bag:2:greedify:mtr,learning_rate:10.0,0.5784735999999999
bag:16:mtr,learning_rate:1.0,0.5816416
cover:1:nounif:mtr,learning_rate:0.3,0.5822498
epsilon:0:mtr,learning_rate:0.3,0.5822498
supervised,learning_rate:0.03,0.5839862
cover:8:psi:0:nounif:dr,learning_rate:0.3,0.5847878
cover:16:psi:0:nounif:dr,learning_rate:0.3,0.5848458
cover:8:psi:0:nounif:dr,learning_rate:3.0,0.585085
bag:16:greedify:mtr,learning_rate:3.0,0.58539
cover:4:psi:0:nounif:dr,learning_rate:0.1,0.585818
epsilon:0:mtr,learning_rate:1.0,0.5862258
cover:1:nounif:mtr,learning_rate:1.0,0.5862258
epsilon:0.05:mtr,learning_rate:3.0,0.5904246000000001
epsilon:0.05:mtr,learning_rate:10.0,0.5907895999999999
bag:8:dr,learning_rate:0.3,0.5915931999999999
cover:4:psi:0.01:nounif:dr,learning_rate:0.1,0.5922842
bag:2:greedify:dr,learning_rate:0.3,0.5930148
epsilon:0.1:mtr,learning_rate:3.0,0.5941074000000001
epsilon:0:dr,learning_rate:0.3,0.594934
cover:1:nounif:dr,learning_rate:0.3,0.594934
cover:8:psi:0:nounif:dr,learning_rate:0.1,0.5949982
cover:4:psi:0.1:nounif:dr,learning_rate:0.1,0.5955216
epsilon:0.02:mtr,learning_rate:10.0,0.5955262
supervised,learning_rate:0.003,0.5972016
bag:16:greedify:mtr,learning_rate:10.0,0.5972458
epsilon:0.02:mtr,learning_rate:1.0,0.5973704000000001
supervised,learning_rate:0.001,0.5987598000000001
bag:2:greedify:mtr,learning_rate:1.0,0.6002542
supervised,learning_rate:0.01,0.6011832
bag:8:greedify:mtr,learning_rate:3.0,0.6013987999999999
bag:4:greedify:mtr,learning_rate:3.0,0.6026404
bag:8:greedify:mtr,learning_rate:0.3,0.6030832
bag:2:mtr,learning_rate:3.0,0.6058562000000001
bag:16:greedify:mtr,learning_rate:0.3,0.6073613999999999
bag:2:dr,learning_rate:0.3,0.6079568
bag:4:dr,learning_rate:0.3,0.6095288
bag:16:mtr,learning_rate:3.0,0.6096191999999999
cover:4:psi:0.1:nounif:dr,learning_rate:0.3,0.6110822
epsilon:0.05:mtr,learning_rate:1.0,0.6114514
cover:8:psi:0.01:nounif:dr,learning_rate:0.3,0.6117706
bag:8:greedify:mtr,learning_rate:10.0,0.6119663999999999
bag:2:greedify:mtr,learning_rate:3.0,0.6122576000000001
bag:2:greedify:dr,learning_rate:0.1,0.6123778
bag:4:greedify:mtr,learning_rate:10.0,0.61311
cover:8:psi:0.01:nounif:dr,learning_rate:0.1,0.6133369999999999
bag:4:greedify:dr,learning_rate:0.3,0.614707
epsilon:0.1:mtr,learning_rate:10.0,0.6149048
bag:16:mtr,learning_rate:10.0,0.6151256
cover:16:psi:0:nounif:dr,learning_rate:3.0,0.6154158
cover:1:mtr,learning_rate:10.0,0.6154404
bag:16:greedify:mtr,learning_rate:1.0,0.6160707999999999
bag:2:greedify:mtr,learning_rate:0.3,0.6166148
bag:4:mtr,learning_rate:10.0,0.6173598
bag:8:mtr,learning_rate:3.0,0.6190007999999999
bag:8:mtr,learning_rate:0.3,0.6199825999999999
cover:1:mtr,learning_rate:3.0,0.6216674
cover:4:psi:0.01:nounif:dr,learning_rate:3.0,0.6223434
cover:8:psi:0.01:nounif:dr,learning_rate:3.0,0.6224122000000001
bag:4:dr,learning_rate:0.1,0.6236064000000001
cover:16:psi:0.1:nounif:dr,learning_rate:0.1,0.6236392000000001
bag:8:dr,learning_rate:0.1,0.625564
bag:4:dr,learning_rate:0.03,0.6256302
bag:4:mtr,learning_rate:1.0,0.627537
bag:8:mtr,learning_rate:1.0,0.6275611999999999
epsilon:0.1:mtr,learning_rate:1.0,0.6291496000000001
bag:4:dr,learning_rate:1.0,0.6295295999999999
cover:1:nounif:mtr,learning_rate:10.0,0.6297716
epsilon:0:mtr,learning_rate:10.0,0.6297716
epsilon:0.02:mtr,learning_rate:3.0,0.6304308
cover:8:psi:0.1:nounif:dr,learning_rate:0.3,0.6316726000000001
cover:8:psi:0.01:nounif:dr,learning_rate:1.0,0.632366
bag:2:mtr,learning_rate:1.0,0.6339694
epsilon:0.02:mtr,learning_rate:0.3,0.6342048
bag:4:mtr,learning_rate:0.3,0.6343922
cover:8:psi:0.1:nounif:dr,learning_rate:1.0,0.6345628000000001
bag:8:mtr,learning_rate:10.0,0.6348339999999999
bag:2:greedify:dr,learning_rate:1.0,0.6349404
bag:4:greedify:dr,learning_rate:1.0,0.6353712
bag:4:mtr,learning_rate:3.0,0.635768
cover:8:psi:0.1:nounif:dr,learning_rate:0.1,0.6359486
