,ds,na,cb_type,lr,algo,loss,sz,nf,rawloss
0,1,14,mtr,learning_rate:0.001,supervised,0.716472,,,0.716472
1,1,14,mtr,learning_rate:0.003,supervised,0.715572,,,0.715572
2,1,14,mtr,learning_rate:0.01,supervised,0.715572,,,0.715572
3,1,14,mtr,learning_rate:0.03,supervised,0.712871,,,0.712871
4,1,14,mtr,learning_rate:0.1,supervised,0.60486,,,0.60486
5,1,14,mtr,learning_rate:0.3,supervised,0.547255,,,0.547255
6,1,14,mtr,learning_rate:1.0,supervised,0.535554,,,0.535554
7,1,14,mtr,learning_rate:3.0,supervised,0.558056,,,0.558056
8,1,14,mtr,learning_rate:10.0,supervised,0.60306,,,0.60306
9,1,14,dr,learning_rate:0.001,epsilon:0:dr,0.894689,,,0.894689
10,1,14,ips,learning_rate:0.001,epsilon:0:ips,0.89829,,,0.89829
11,1,14,mtr,learning_rate:0.001,epsilon:0:mtr,0.917192,,,0.917192
12,1,14,dr,learning_rate:0.003,epsilon:0:dr,0.905491,,,0.905491
13,1,14,ips,learning_rate:0.003,epsilon:0:ips,0.878488,,,0.878488
14,1,14,mtr,learning_rate:0.003,epsilon:0:mtr,0.909091,,,0.909091
15,1,14,dr,learning_rate:0.01,epsilon:0:dr,0.873087,,,0.873087
16,1,14,ips,learning_rate:0.01,epsilon:0:ips,0.893789,,,0.893789
17,1,14,mtr,learning_rate:0.01,epsilon:0:mtr,0.89649,,,0.89649
18,1,14,dr,learning_rate:0.03,epsilon:0:dr,0.827183,,,0.827183
19,1,14,ips,learning_rate:0.03,epsilon:0:ips,0.890189,,,0.890189
20,1,14,mtr,learning_rate:0.03,epsilon:0:mtr,0.885689,,,0.885689
21,1,14,dr,learning_rate:0.1,epsilon:0:dr,0.69577,,,0.69577
22,1,14,ips,learning_rate:0.1,epsilon:0:ips,0.89919,,,0.89919
23,1,14,mtr,learning_rate:0.1,epsilon:0:mtr,0.829883,,,0.829883
24,1,14,dr,learning_rate:0.3,epsilon:0:dr,0.661566,,,0.661566
25,1,14,ips,learning_rate:0.3,epsilon:0:ips,0.892889,,,0.892889
26,1,14,mtr,learning_rate:0.3,epsilon:0:mtr,0.712871,,,0.712871
27,1,14,dr,learning_rate:1.0,epsilon:0:dr,0.621062,,,0.621062
28,1,14,ips,learning_rate:1.0,epsilon:0:ips,0.880288,,,0.880288
29,1,14,mtr,learning_rate:1.0,epsilon:0:mtr,0.813681,,,0.813681
30,1,14,dr,learning_rate:3.0,epsilon:0:dr,0.625563,,,0.625563
31,1,14,ips,learning_rate:3.0,epsilon:0:ips,0.90459,,,0.90459
32,1,14,mtr,learning_rate:3.0,epsilon:0:mtr,0.793879,,,0.793879
33,1,14,dr,learning_rate:10.0,epsilon:0:dr,0.933393,,,0.933393
34,1,14,ips,learning_rate:10.0,epsilon:0:ips,0.934293,,,0.934293
35,1,14,mtr,learning_rate:10.0,epsilon:0:mtr,0.945095,,,0.945095
36,1,14,dr,learning_rate:0.001,epsilon:0.02:dr,0.882088,,,0.882088
37,1,14,ips,learning_rate:0.001,epsilon:0.02:ips,0.946895,,,0.946895
38,1,14,mtr,learning_rate:0.001,epsilon:0.02:mtr,0.891089,,,0.891089
39,1,14,dr,learning_rate:0.003,epsilon:0.02:dr,0.961296,,,0.961296
40,1,14,ips,learning_rate:0.003,epsilon:0.02:ips,0.928893,,,0.928893
41,1,14,mtr,learning_rate:0.003,epsilon:0.02:mtr,0.875788,,,0.875788
42,1,14,dr,learning_rate:0.01,epsilon:0.02:dr,0.882088,,,0.882088
43,1,14,ips,learning_rate:0.01,epsilon:0.02:ips,0.871287,,,0.871287
44,1,14,mtr,learning_rate:0.01,epsilon:0.02:mtr,0.924392,,,0.924392
45,1,14,dr,learning_rate:0.03,epsilon:0.02:dr,0.90369,,,0.90369
46,1,14,ips,learning_rate:0.03,epsilon:0.02:ips,0.875788,,,0.875788
47,1,14,mtr,learning_rate:0.03,epsilon:0.02:mtr,0.926193,,,0.926193
48,1,14,dr,learning_rate:0.1,epsilon:0.02:dr,0.732673,,,0.732673
49,1,14,ips,learning_rate:0.1,epsilon:0.02:ips,0.887489,,,0.887489
50,1,14,mtr,learning_rate:0.1,epsilon:0.02:mtr,0.810981,,,0.810981
51,1,14,dr,learning_rate:0.3,epsilon:0.02:dr,0.768677,,,0.768677
52,1,14,ips,learning_rate:0.3,epsilon:0.02:ips,0.918092,,,0.918092
53,1,14,mtr,learning_rate:0.3,epsilon:0.02:mtr,0.758776,,,0.758776
54,1,14,dr,learning_rate:1.0,epsilon:0.02:dr,0.838884,,,0.838884
55,1,14,ips,learning_rate:1.0,epsilon:0.02:ips,0.90369,,,0.90369
56,1,14,mtr,learning_rate:1.0,epsilon:0.02:mtr,0.823582,,,0.823582
57,1,14,dr,learning_rate:3.0,epsilon:0.02:dr,0.893789,,,0.893789
58,1,14,ips,learning_rate:3.0,epsilon:0.02:ips,0.921692,,,0.921692
59,1,14,mtr,learning_rate:3.0,epsilon:0.02:mtr,0.792979,,,0.792979
60,1,14,dr,learning_rate:10.0,epsilon:0.02:dr,0.884788,,,0.884788
61,1,14,ips,learning_rate:10.0,epsilon:0.02:ips,0.927093,,,0.927093
62,1,14,mtr,learning_rate:10.0,epsilon:0.02:mtr,0.735374,,,0.735374
63,1,14,dr,learning_rate:0.001,epsilon:0.05:dr,0.958596,,,0.958596
64,1,14,ips,learning_rate:0.001,epsilon:0.05:ips,0.913591,,,0.913591
65,1,14,mtr,learning_rate:0.001,epsilon:0.05:mtr,0.928893,,,0.928893
66,1,14,dr,learning_rate:0.003,epsilon:0.05:dr,0.947795,,,0.947795
67,1,14,ips,learning_rate:0.003,epsilon:0.05:ips,0.944194,,,0.944194
68,1,14,mtr,learning_rate:0.003,epsilon:0.05:mtr,0.881188,,,0.881188
69,1,14,dr,learning_rate:0.01,epsilon:0.05:dr,0.906391,,,0.906391
70,1,14,ips,learning_rate:0.01,epsilon:0.05:ips,0.912691,,,0.912691
71,1,14,mtr,learning_rate:0.01,epsilon:0.05:mtr,0.886589,,,0.886589
72,1,14,dr,learning_rate:0.03,epsilon:0.05:dr,0.790279,,,0.790279
73,1,14,ips,learning_rate:0.03,epsilon:0.05:ips,0.89829,,,0.89829
74,1,14,mtr,learning_rate:0.03,epsilon:0.05:mtr,0.90009,,,0.90009
75,1,14,dr,learning_rate:0.1,epsilon:0.05:dr,0.785779,,,0.785779
76,1,14,ips,learning_rate:0.1,epsilon:0.05:ips,0.891989,,,0.891989
77,1,14,mtr,learning_rate:0.1,epsilon:0.05:mtr,0.846085,,,0.846085
78,1,14,dr,learning_rate:0.3,epsilon:0.05:dr,0.945995,,,0.945995
79,1,14,ips,learning_rate:0.3,epsilon:0.05:ips,0.89739,,,0.89739
80,1,14,mtr,learning_rate:0.3,epsilon:0.05:mtr,0.790279,,,0.790279
81,1,14,dr,learning_rate:1.0,epsilon:0.05:dr,0.827183,,,0.827183
82,1,14,ips,learning_rate:1.0,epsilon:0.05:ips,0.876688,,,0.876688
83,1,14,mtr,learning_rate:1.0,epsilon:0.05:mtr,0.80018,,,0.80018
84,1,14,dr,learning_rate:3.0,epsilon:0.05:dr,0.836184,,,0.836184
85,1,14,ips,learning_rate:3.0,epsilon:0.05:ips,0.882988,,,0.882988
86,1,14,mtr,learning_rate:3.0,epsilon:0.05:mtr,0.753375,,,0.753375
87,1,14,dr,learning_rate:10.0,epsilon:0.05:dr,0.866787,,,0.866787
88,1,14,ips,learning_rate:10.0,epsilon:0.05:ips,0.933393,,,0.933393
89,1,14,mtr,learning_rate:10.0,epsilon:0.05:mtr,0.810981,,,0.810981
90,1,14,dr,learning_rate:0.001,epsilon:0.1:dr,0.937894,,,0.937894
91,1,14,ips,learning_rate:0.001,epsilon:0.1:ips,0.89829,,,0.89829
