algo,lr,loss
supervised,learning_rate:1.0,0.19072125
cover:4:psi:0:nounif:mtr,learning_rate:1.0,0.19076625000000003
bag:4:greedify:mtr,learning_rate:1.0,0.19080125
epsilon:0:mtr,learning_rate:3.0,0.19080624999999998
cover:1:nounif:mtr,learning_rate:3.0,0.19080624999999998
cover:4:psi:0.01:nounif:dr,learning_rate:1.0,0.19096125
bag:16:greedify:dr,learning_rate:1.0,0.19113124999999997
bag:2:greedify:mtr,learning_rate:3.0,0.19113625
bag:4:greedify:mtr,learning_rate:3.0,0.19130625
bag:4:dr,learning_rate:1.0,0.19137625000000003
cover:4:psi:0.1:nounif:dr,learning_rate:1.0,0.19144625
bag:4:greedify:dr,learning_rate:1.0,0.19146125
bag:8:greedify:dr,learning_rate:1.0,0.19157125000000003
bag:16:dr,learning_rate:1.0,0.19159625000000002
bag:4:mtr,learning_rate:3.0,0.19160125
bag:4:mtr,learning_rate:1.0,0.19167125000000002
bag:16:greedify:mtr,learning_rate:1.0,0.19168125
cover:4:psi:0:nounif:dr,learning_rate:3.0,0.19184125
cover:16:psi:0:nounif:dr,learning_rate:3.0,0.19188624999999998
cover:8:psi:0:nounif:dr,learning_rate:3.0,0.19189124999999999
epsilon:0:dr,learning_rate:3.0,0.19190625
cover:1:nounif:dr,learning_rate:3.0,0.19190625
bag:16:greedify:mtr,learning_rate:3.0,0.19193125
bag:8:dr,learning_rate:1.0,0.19193125
cover:16:psi:0.1:nounif:mtr,learning_rate:3.0,0.19205624999999998
bag:8:greedify:mtr,learning_rate:3.0,0.19211625
cover:16:psi:0.1:nounif:dr,learning_rate:1.0,0.19218125
cover:4:psi:0.01:nounif:dr,learning_rate:3.0,0.19238624999999998
bag:4:greedify:dr,learning_rate:3.0,0.19245125
bag:8:mtr,learning_rate:3.0,0.19252625
cover:8:psi:0.1:nounif:dr,learning_rate:3.0,0.19254625
bag:2:greedify:dr,learning_rate:3.0,0.19260625
cover:16:psi:0:nounif:mtr,learning_rate:3.0,0.19265624999999997
bag:16:mtr,learning_rate:1.0,0.19278625
bag:2:mtr,learning_rate:1.0,0.19280125
cover:16:psi:0.01:nounif:dr,learning_rate:3.0,0.19280624999999998
cover:8:psi:0.01:nounif:dr,learning_rate:3.0,0.19283625000000001
cover:4:psi:0.1:nounif:dr,learning_rate:3.0,0.19296125
bag:16:mtr,learning_rate:3.0,0.19297125
bag:2:greedify:mtr,learning_rate:1.0,0.19298125
cover:16:psi:0.1:nounif:dr,learning_rate:3.0,0.19300625000000002
bag:2:mtr,learning_rate:3.0,0.19301625
cover:16:psi:0.01:nounif:mtr,learning_rate:3.0,0.19303625000000002
supervised,learning_rate:0.3,0.19313124999999998
cover:16:psi:0.1:nounif:mtr,learning_rate:1.0,0.19321624999999998
bag:16:greedify:dr,learning_rate:0.3,0.19325124999999999
bag:2:dr,learning_rate:1.0,0.19328125000000002
cover:8:psi:0.1:nounif:dr,learning_rate:1.0,0.19332625
cover:4:psi:0.1:nounif:mtr,learning_rate:3.0,0.193376
bag:4:dr,learning_rate:3.0,0.19343625
cover:8:psi:0.1:nounif:mtr,learning_rate:3.0,0.193546
bag:8:dr,learning_rate:3.0,0.19400125
