ds,na,cb_type,lr,algo,loss,sz,nf,rawloss
loan1,2,mtr,learning_rate:0.001,supervised,0.163637,,,0.163637
loan1,2,mtr,learning_rate:0.003,supervised,0.163637,,,0.163637
loan1,2,mtr,learning_rate:0.01,supervised,0.163637,,,0.163637
loan1,2,mtr,learning_rate:0.03,supervised,0.163637,,,0.163637
loan1,2,mtr,learning_rate:0.1,supervised,0.163637,,,0.163637
loan1,2,mtr,learning_rate:0.3,supervised,0.122498,,,0.122498
loan1,2,mtr,learning_rate:1.0,supervised,0.109338,,,0.109338
loan1,2,mtr,learning_rate:3.0,supervised,0.109158,,,0.109158
loan1,2,mtr,learning_rate:10.0,supervised,0.120518,,,0.120518
loan1,2,dr,learning_rate:0.001,epsilon:0:dr,0.149557,,,0.149557
loan1,2,ips,learning_rate:0.001,epsilon:0:ips,0.180696,,,0.180696
loan1,2,mtr,learning_rate:0.001,epsilon:0:mtr,0.166437,,,0.166437
loan1,2,dr,learning_rate:0.003,epsilon:0:dr,0.162277,,,0.162277
loan1,2,ips,learning_rate:0.003,epsilon:0:ips,0.179776,,,0.179776
loan1,2,mtr,learning_rate:0.003,epsilon:0:mtr,0.159937,,,0.159937
loan1,2,dr,learning_rate:0.01,epsilon:0:dr,0.163377,,,0.163377
loan1,2,ips,learning_rate:0.01,epsilon:0:ips,0.179476,,,0.179476
loan1,2,mtr,learning_rate:0.01,epsilon:0:mtr,0.163537,,,0.163537
loan1,2,dr,learning_rate:0.03,epsilon:0:dr,0.154177,,,0.154177
loan1,2,ips,learning_rate:0.03,epsilon:0:ips,0.180096,,,0.180096
loan1,2,mtr,learning_rate:0.03,epsilon:0:mtr,0.162417,,,0.162417
loan1,2,dr,learning_rate:0.1,epsilon:0:dr,0.143217,,,0.143217
loan1,2,ips,learning_rate:0.1,epsilon:0:ips,0.183056,,,0.183056
loan1,2,mtr,learning_rate:0.1,epsilon:0:mtr,0.136777,,,0.136777
loan1,2,dr,learning_rate:0.3,epsilon:0:dr,0.163677,,,0.163677
loan1,2,ips,learning_rate:0.3,epsilon:0:ips,0.191056,,,0.191056
loan1,2,mtr,learning_rate:0.3,epsilon:0:mtr,0.163697,,,0.163697
loan1,2,dr,learning_rate:1.0,epsilon:0:dr,0.163737,,,0.163737
loan1,2,ips,learning_rate:1.0,epsilon:0:ips,0.206296,,,0.206296
loan1,2,mtr,learning_rate:1.0,epsilon:0:mtr,0.163677,,,0.163677
loan1,2,dr,learning_rate:3.0,epsilon:0:dr,0.119058,,,0.119058
loan1,2,ips,learning_rate:3.0,epsilon:0:ips,0.221276,,,0.221276
loan1,2,mtr,learning_rate:3.0,epsilon:0:mtr,0.115518,,,0.115518
loan1,2,dr,learning_rate:10.0,epsilon:0:dr,0.129517,,,0.129517
loan1,2,ips,learning_rate:10.0,epsilon:0:ips,0.235155,,,0.235155
loan1,2,mtr,learning_rate:10.0,epsilon:0:mtr,0.126577,,,0.126577
loan1,2,dr,learning_rate:0.001,epsilon:0.02:dr,0.177776,,,0.177776
