ds,na,cb_type,lr,algo,loss,sz,nf,rawloss
loan1,15,dr,learning_rate:0.001,epsilon:0:dr,405.75,,,405.75
loan1,15,ips,learning_rate:0.001,epsilon:0:ips,405.75,,,405.75
loan1,15,mtr,learning_rate:0.001,epsilon:0:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:0.003,epsilon:0:dr,405.75,,,405.75
loan1,15,ips,learning_rate:0.003,epsilon:0:ips,405.75,,,405.75
loan1,15,mtr,learning_rate:0.003,epsilon:0:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:0.01,epsilon:0:dr,405.75,,,405.75
loan1,15,ips,learning_rate:0.01,epsilon:0:ips,405.75,,,405.75
loan1,15,mtr,learning_rate:0.01,epsilon:0:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:0.03,epsilon:0:dr,405.75,,,405.75
loan1,15,ips,learning_rate:0.03,epsilon:0:ips,309.65,,,309.65
loan1,15,mtr,learning_rate:0.03,epsilon:0:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:0.1,epsilon:0:dr,405.75,,,405.75
loan1,15,ips,learning_rate:0.1,epsilon:0:ips,172.475,,,172.475
loan1,15,mtr,learning_rate:0.1,epsilon:0:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:0.3,epsilon:0:dr,405.75,,,405.75
loan1,15,ips,learning_rate:0.3,epsilon:0:ips,140.375,,,140.375
loan1,15,mtr,learning_rate:0.3,epsilon:0:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:1.0,epsilon:0:dr,405.75,,,405.75
loan1,15,ips,learning_rate:1.0,epsilon:0:ips,126.35,,,126.35
loan1,15,mtr,learning_rate:1.0,epsilon:0:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:3.0,epsilon:0:dr,405.75,,,405.75
loan1,15,ips,learning_rate:3.0,epsilon:0:ips,121.35,,,121.35
loan1,15,mtr,learning_rate:3.0,epsilon:0:mtr,405.75,,,405.75
loan1,15,dr,learning_rate:10.0,epsilon:0:dr,405.75,,,405.75
loan1,15,ips,learning_rate:10.0,epsilon:0:ips,121.35,,,121.35
loan1,15,mtr,learning_rate:10.0,epsilon:0:mtr,405.75,,,405.75
loan2,10,dr,learning_rate:0.001,epsilon:0:dr,668.05,,,668.05
loan2,10,ips,learning_rate:0.001,epsilon:0:ips,668.05,,,668.05
loan2,10,mtr,learning_rate:0.001,epsilon:0:mtr,668.05,,,668.05
loan2,10,dr,learning_rate:0.003,epsilon:0:dr,668.05,,,668.05
loan2,10,ips,learning_rate:0.003,epsilon:0:ips,668.05,,,668.05
loan2,10,mtr,learning_rate:0.003,epsilon:0:mtr,668.05,,,668.05
loan2,10,dr,learning_rate:0.01,epsilon:0:dr,668.05,,,668.05
loan2,10,ips,learning_rate:0.01,epsilon:0:ips,668.05,,,668.05
loan2,10,mtr,learning_rate:0.01,epsilon:0:mtr,668.05,,,668.05
loan2,10,dr,learning_rate:0.03,epsilon:0:dr,668.05,,,668.05
loan2,10,ips,learning_rate:0.03,epsilon:0:ips,668.05,,,668.05
loan2,10,mtr,learning_rate:0.03,epsilon:0:mtr,668.05,,,668.05
loan2,10,dr,learning_rate:0.1,epsilon:0:dr,668.05,,,668.05
loan2,10,ips,learning_rate:0.1,epsilon:0:ips,279.75,,,279.75
loan2,10,mtr,learning_rate:0.1,epsilon:0:mtr,668.05,,,668.05
loan2,10,dr,learning_rate:0.3,epsilon:0:dr,668.05,,,668.05
loan2,10,ips,learning_rate:0.3,epsilon:0:ips,134.55,,,134.55
loan2,10,mtr,learning_rate:0.3,epsilon:0:mtr,668.05,,,668.05
loan2,10,dr,learning_rate:1.0,epsilon:0:dr,668.05,,,668.05
loan2,10,ips,learning_rate:1.0,epsilon:0:ips,106.25,,,106.25
loan2,10,mtr,learning_rate:1.0,epsilon:0:mtr,668.05,,,668.05
loan2,10,dr,learning_rate:3.0,epsilon:0:dr,668.05,,,668.05
loan2,10,ips,learning_rate:3.0,epsilon:0:ips,108.2,,,108.2
loan2,10,mtr,learning_rate:3.0,epsilon:0:mtr,668.05,,,668.05
loan2,10,dr,learning_rate:10.0,epsilon:0:dr,668.05,,,668.05
loan2,10,ips,learning_rate:10.0,epsilon:0:ips,110.95,,,110.95
loan2,10,mtr,learning_rate:10.0,epsilon:0:mtr,668.05,,,668.05
loan1,15,dr,learning_rate:0.001,epsilon:0.02:dr,408.375,,,408.375
loan1,15,ips,learning_rate:0.001,epsilon:0.02:ips,408.375,,,408.375
loan1,15,mtr,learning_rate:0.001,epsilon:0.02:mtr,408.375,,,408.375
loan1,15,dr,learning_rate:0.003,epsilon:0.02:dr,408.375,,,408.375
loan1,15,ips,learning_rate:0.003,epsilon:0.02:ips,408.375,,,408.375
loan1,15,mtr,learning_rate:0.003,epsilon:0.02:mtr,408.375,,,408.375
loan1,15,dr,learning_rate:0.01,epsilon:0.02:dr,408.375,,,408.375
loan1,15,ips,learning_rate:0.01,epsilon:0.02:ips,408.375,,,408.375
loan1,15,mtr,learning_rate:0.01,epsilon:0.02:mtr,408.375,,,408.375
loan1,15,dr,learning_rate:0.03,epsilon:0.02:dr,408.375,,,408.375
loan1,15,ips,learning_rate:0.03,epsilon:0.02:ips,408.375,,,408.375
loan1,15,mtr,learning_rate:0.03,epsilon:0.02:mtr,408.375,,,408.375
loan1,15,dr,learning_rate:0.1,epsilon:0.02:dr,408.375,,,408.375
loan1,15,ips,learning_rate:0.1,epsilon:0.02:ips,408.375,,,408.375
loan1,15,mtr,learning_rate:0.1,epsilon:0.02:mtr,408.375,,,408.375
loan1,15,dr,learning_rate:0.3,epsilon:0.02:dr,408.375,,,408.375
loan1,15,ips,learning_rate:0.3,epsilon:0.02:ips,408.375,,,408.375
loan1,15,mtr,learning_rate:0.3,epsilon:0.02:mtr,408.375,,,408.375
loan1,15,dr,learning_rate:1.0,epsilon:0.02:dr,408.375,,,408.375
loan1,15,ips,learning_rate:1.0,epsilon:0.02:ips,408.725,,,408.725
loan1,15,mtr,learning_rate:1.0,epsilon:0.02:mtr,408.375,,,408.375
loan1,15,dr,learning_rate:3.0,epsilon:0.02:dr,408.375,,,408.375
loan1,15,ips,learning_rate:3.0,epsilon:0.02:ips,398.625,,,398.625
loan1,15,mtr,learning_rate:3.0,epsilon:0.02:mtr,402.725,,,402.725
loan1,15,dr,learning_rate:10.0,epsilon:0.02:dr,408.375,,,408.375
loan1,15,ips,learning_rate:10.0,epsilon:0.02:ips,403.4,,,403.4
loan1,15,mtr,learning_rate:10.0,epsilon:0.02:mtr,234.95,,,234.95
loan1,15,dr,learning_rate:0.001,epsilon:0.05:dr,407.25,,,407.25
loan1,15,ips,learning_rate:0.001,epsilon:0.05:ips,407.25,,,407.25
loan1,15,mtr,learning_rate:0.001,epsilon:0.05:mtr,407.25,,,407.25
loan1,15,dr,learning_rate:0.003,epsilon:0.05:dr,407.25,,,407.25
loan1,15,ips,learning_rate:0.003,epsilon:0.05:ips,407.25,,,407.25
loan1,15,mtr,learning_rate:0.003,epsilon:0.05:mtr,407.25,,,407.25
loan1,15,dr,learning_rate:0.01,epsilon:0.05:dr,407.25,,,407.25
loan1,15,ips,learning_rate:0.01,epsilon:0.05:ips,407.25,,,407.25
loan1,15,mtr,learning_rate:0.01,epsilon:0.05:mtr,407.25,,,407.25
loan1,15,dr,learning_rate:0.03,epsilon:0.05:dr,407.25,,,407.25
loan1,15,ips,learning_rate:0.03,epsilon:0.05:ips,407.25,,,407.25
loan1,15,mtr,learning_rate:0.03,epsilon:0.05:mtr,407.25,,,407.25
loan1,15,dr,learning_rate:0.1,epsilon:0.05:dr,407.25,,,407.25
loan1,15,ips,learning_rate:0.1,epsilon:0.05:ips,407.25,,,407.25
loan1,15,mtr,learning_rate:0.1,epsilon:0.05:mtr,407.25,,,407.25
loan1,15,dr,learning_rate:0.3,epsilon:0.05:dr,407.25,,,407.25
loan1,15,ips,learning_rate:0.3,epsilon:0.05:ips,407.25,,,407.25
loan1,15,mtr,learning_rate:0.3,epsilon:0.05:mtr,407.25,,,407.25
loan1,15,dr,learning_rate:1.0,epsilon:0.05:dr,407.25,,,407.25
loan1,15,ips,learning_rate:1.0,epsilon:0.05:ips,407.25,,,407.25
loan1,15,mtr,learning_rate:1.0,epsilon:0.05:mtr,407.25,,,407.25
loan1,15,dr,learning_rate:3.0,epsilon:0.05:dr,407.25,,,407.25
loan1,15,ips,learning_rate:3.0,epsilon:0.05:ips,407.25,,,407.25
loan1,15,mtr,learning_rate:3.0,epsilon:0.05:mtr,407.25,,,407.25
loan1,15,dr,learning_rate:10.0,epsilon:0.05:dr,407.25,,,407.25
loan1,15,ips,learning_rate:10.0,epsilon:0.05:ips,407.375,,,407.375
loan1,15,mtr,learning_rate:10.0,epsilon:0.05:mtr,269.825,,,269.825
loan1,15,dr,learning_rate:0.001,epsilon:0.1:dr,414.0,,,414.0
loan1,15,ips,learning_rate:0.001,epsilon:0.1:ips,414.0,,,414.0
loan1,15,mtr,learning_rate:0.001,epsilon:0.1:mtr,414.0,,,414.0
loan1,15,dr,learning_rate:0.003,epsilon:0.1:dr,414.0,,,414.0
loan1,15,ips,learning_rate:0.003,epsilon:0.1:ips,414.0,,,414.0
loan1,15,mtr,learning_rate:0.003,epsilon:0.1:mtr,414.0,,,414.0
loan1,15,dr,learning_rate:0.01,epsilon:0.1:dr,414.0,,,414.0
loan1,15,ips,learning_rate:0.01,epsilon:0.1:ips,414.0,,,414.0
loan1,15,mtr,learning_rate:0.01,epsilon:0.1:mtr,414.0,,,414.0
loan1,15,dr,learning_rate:0.03,epsilon:0.1:dr,414.0,,,414.0
