algo,lr,loss
cover:16:psi:0:nounif:dr,learning_rate:10.0,0.4570136363636364
cover:8:psi:0:nounif:dr,learning_rate:10.0,0.4625530000000001
cover:16:psi:0:nounif:dr,learning_rate:3.0,0.4629637272727274
cover:4:psi:0:nounif:dr,learning_rate:3.0,0.46349681818181826
cover:4:psi:0:nounif:dr,learning_rate:10.0,0.46414418181818196
bag:2:greedify:dr,learning_rate:3.0,0.4642328181818181
cover:1:nounif:dr,learning_rate:10.0,0.46444749999999996
cover:8:psi:0:nounif:dr,learning_rate:3.0,0.4675417272727273
bag:4:mtr,learning_rate:10.0,0.4701277272727273
epsilon:0.05:mtr,learning_rate:10.0,0.4703780909090909
bag:2:greedify:dr,learning_rate:10.0,0.4729497272727272
epsilon:0.1:mtr,learning_rate:10.0,0.4729717272727273
bag:4:mtr,learning_rate:3.0,0.4732118181818182
cover:4:psi:0:nounif:dr,learning_rate:1.0,0.47375081818181813
cover:4:psi:0.01:nounif:dr,learning_rate:0.3,0.4760481818181819
epsilon:0:dr,learning_rate:3.0,0.4762644545454545
epsilon:0:dr,learning_rate:10.0,0.4783643636363637
cover:8:psi:0:nounif:dr,learning_rate:1.0,0.4783826363636363
cover:4:psi:1.0:nounif:dr,learning_rate:1.0,0.47847554545454546
cover:8:psi:0.01:nounif:dr,learning_rate:10.0,0.4788446363636364
cover:4:psi:1.0:nounif:dr,learning_rate:3.0,0.4803987272727273
cover:16:psi:0:nounif:dr,learning_rate:1.0,0.4805553636363636
bag:2:greedify:dr,learning_rate:1.0,0.48060327272727277
cover:16:psi:0.1:nounif:dr,learning_rate:1.0,0.4806370909090909
epsilon:0.02:mtr,learning_rate:10.0,0.4817105454545454
cover:8:psi:0.1:nounif:dr,learning_rate:0.3,0.4830901818181817
bag:8:mtr,learning_rate:10.0,0.4835470909090908
bag:16:mtr,learning_rate:3.0,0.4842436363636363
epsilon:0:mtr,learning_rate:10.0,0.48428563636363636
cover:8:psi:0.1:nounif:dr,learning_rate:10.0,0.48474327272727274
bag:4:greedify:dr,learning_rate:3.0,0.4857284545454546
epsilon:0:dr,learning_rate:1.0,0.48665990909090906
cover:4:psi:0.1:nounif:dr,learning_rate:0.3,0.4867505454545455
bag:8:greedify:mtr,learning_rate:3.0,0.48801836363636364
cover:8:psi:1.0:nounif:dr,learning_rate:1.0,0.4891773636363636
epsilon:0.05:mtr,learning_rate:3.0,0.48924509090909096
cover:4:psi:0.01:nounif:dr,learning_rate:10.0,0.4903613636363637
bag:8:mtr,learning_rate:3.0,0.49059727272727277
cover:4:psi:0:nounif:dr,learning_rate:0.1,0.49094818181818173
bag:8:greedify:mtr,learning_rate:10.0,0.49146809090909094
bag:16:greedify:mtr,learning_rate:10.0,0.49228472727272726
epsilon:0:dr,learning_rate:0.1,0.49235727272727275
cover:4:psi:0.01:nounif:dr,learning_rate:1.0,0.4931556363636363
cover:8:psi:0.01:nounif:dr,learning_rate:0.3,0.49337800000000004
bag:16:dr,learning_rate:10.0,0.49377445454545454
cover:16:psi:0.1:nounif:dr,learning_rate:10.0,0.49416854545454547
bag:8:dr,learning_rate:3.0,0.4947378181818182
cover:16:psi:1.0:nounif:dr,learning_rate:1.0,0.4949932727272728
cover:4:psi:0.1:nounif:dr,learning_rate:10.0,0.49535672727272734
bag:16:dr,learning_rate:3.0,0.495511
cover:16:psi:0:nounif:dr,learning_rate:0.1,0.495570909090909
cover:8:psi:0:nounif:dr,learning_rate:0.1,0.4959823636363636
epsilon:0.1:mtr,learning_rate:3.0,0.49609954545454543
bag:4:dr,learning_rate:3.0,0.4962388181818181
bag:4:greedify:dr,learning_rate:10.0,0.49669681818181827
bag:8:mtr,learning_rate:1.0,0.4971967272727273
cover:8:psi:0.01:nounif:dr,learning_rate:3.0,0.49765945454545457
bag:4:dr,learning_rate:10.0,0.49772127272727273
epsilon:0.02:mtr,learning_rate:3.0,0.4984335454545455
bag:16:greedify:dr,learning_rate:3.0,0.4989348181818182
cover:16:psi:0.1:nounif:dr,learning_rate:0.1,0.5004572727272728
bag:4:greedify:dr,learning_rate:1.0,0.5005361818181818
cover:16:psi:0:nounif:dr,learning_rate:0.03,0.5008611818181818
bag:16:mtr,learning_rate:10.0,0.500974090909091
cover:4:psi:0:nounif:dr,learning_rate:0.03,0.5010573636363637
cover:1:nounif:mtr,learning_rate:10.0,0.501145
cover:8:psi:0:nounif:dr,learning_rate:0.03,0.5016779090909091
cover:16:psi:0.1:nounif:dr,learning_rate:3.0,0.5024875454545454
epsilon:0.1:mtr,learning_rate:1.0,0.5026010909090909
bag:8:dr,learning_rate:10.0,0.5028059090909092
bag:4:dr,learning_rate:1.0,0.5035318181818181
epsilon:0:mtr,learning_rate:1.0,0.5035752727272726
epsilon:0.02:mtr,learning_rate:1.0,0.5044203636363637
epsilon:0:dr,learning_rate:0.03,0.5049184545454546
bag:2:greedify:dr,learning_rate:0.3,0.505789909090909
cover:4:psi:1.0:nounif:dr,learning_rate:0.3,0.5060261818181817
cover:16:psi:1.0:nounif:dr,learning_rate:0.3,0.5062529090909091
bag:8:dr,learning_rate:1.0,0.5065663636363636
epsilon:0:dr,learning_rate:0.3,0.506794090909091
cover:4:psi:0:nounif:dr,learning_rate:0.3,0.5068213636363637
cover:4:psi:0.01:nounif:ips,learning_rate:0.3,0.5070434615384616
cover:4:psi:0.1:nounif:dr,learning_rate:3.0,0.5073179090909091
bag:16:greedify:mtr,learning_rate:3.0,0.5080001818181817
cover:8:psi:0:nounif:dr,learning_rate:0.3,0.5080849999999999
bag:16:greedify:dr,learning_rate:1.0,0.5086994545454545
cover:16:psi:0:nounif:dr,learning_rate:0.3,0.5092850000000001
bag:2:greedify:mtr,learning_rate:10.0,0.5099503636363636
epsilon:0.05:mtr,learning_rate:1.0,0.5099896363636364
