,ds,na,cb_type,lr,algo,loss,sz,nf,rawloss
10802,8,2,dr,learning_rate:0.3,cover:4:psi:0.1:nounif:dr,0.023188,345,6,0.023188
637,10,4,ips,learning_rate:0.3,cover:8:psi:0:nounif:ips,0.182432,148,18,0.182432
2232,12,10,dr,learning_rate:1.0,bag:4:dr,0.5535,2000,216,0.5535
4335,16,10,dr,learning_rate:10.0,bag:8:dr,0.8815,2000,64,0.8815
6303,20,10,ips,learning_rate:0.01,epsilon:0.05:ips,0.8375,2000,240,0.8375
3739,14,10,ips,learning_rate:0.003,cover:8:psi:0:nounif:ips,0.877,2000,76,0.877
4068,14,10,dr,learning_rate:0.03,cover:16:psi:0.1:nounif:dr,0.838,2000,76,0.838
1388,11,3,mtr,learning_rate:1.0,cover:1:mtr,0.16,625,4,0.16
1434,11,3,dr,learning_rate:0.1,cover:4:psi:0:dr,0.1824,625,4,0.1824
8262,21,4,ips,learning_rate:0.1,cover:16:psi:1.0:ips,0.318866,1728,6,0.318866
7230,20,10,ips,learning_rate:0.3,cover:16:psi:1.0:ips,0.8005,2000,240,0.8005
9193,3,2,mtr,learning_rate:10.0,cover:16:psi:0.01:mtr,0.263454,3196,36,0.263454
4987,16,10,ips,learning_rate:0.001,cover:16:psi:0:nounif:ips,0.8815,2000,64,0.8815
7750,21,4,mtr,learning_rate:0.1,cover:4:psi:0.01:nounif:mtr,0.242477,1728,6,0.242477
7779,21,4,ips,learning_rate:0.3,cover:4:psi:0.1:ips,0.236111,1728,6,0.236111
2240,12,10,mtr,learning_rate:10.0,bag:4:mtr,0.589,2000,216,0.589
2437,12,10,ips,learning_rate:0.01,cover:1:nounif:ips,0.678,2000,216,0.678
9354,6,26,ips,learning_rate:0.01,epsilon:0:ips,0.94785,20000,16,0.94785
3698,14,10,mtr,learning_rate:0.3,cover:4:psi:1.0:nounif:mtr,0.8825,2000,76,0.8825
8995,3,2,mtr,learning_rate:0.3,cover:8:psi:0.01:nounif:mtr,0.208698,3196,36,0.208698
3241,14,10,ips,learning_rate:1.0,bag:2:ips,0.879,2000,76,0.879
4815,16,10,dr,learning_rate:1.0,cover:8:psi:0.01:dr,0.891,2000,64,0.891
398,10,4,mtr,learning_rate:1.0,cover:4:psi:0:mtr,0.364865,148,18,0.364865
2479,12,10,ips,learning_rate:3.0,cover:4:psi:0:ips,0.802,2000,216,0.802
2778,12,10,dr,learning_rate:10.0,cover:8:psi:0.01:nounif:dr,0.49,2000,216,0.49
5135,16,10,mtr,learning_rate:0.1,cover:16:psi:1.0:mtr,0.883,2000,64,0.883
2491,12,10,ips,learning_rate:0.01,cover:4:psi:0:nounif:ips,0.65,2000,216,0.65
7384,21,4,mtr,learning_rate:10.0,epsilon:0.1:mtr,0.15162,1728,6,0.15162
104,10,4,mtr,learning_rate:3.0,epsilon:0.1:mtr,0.22973,148,18,0.22973
5421,18,10,dr,learning_rate:3.0,bag:2:greedify:dr,0.717,2000,6,0.717
11011,8,2,mtr,learning_rate:0.01,cover:8:psi:0.1:nounif:mtr,0.037681,345,6,0.037681
615,10,4,dr,learning_rate:3.0,cover:8:psi:0:dr,0.364865,148,18,0.364865
9481,6,26,mtr,learning_rate:10.0,bag:2:mtr,0.83295,20000,16,0.83295
10234,6,26,mtr,learning_rate:3.0,cover:16:psi:0.1:mtr,0.9348,20000,16,0.9348
7587,21,4,ips,learning_rate:0.1,bag:16:greedify:ips,0.175926,1728,6,0.175926
3220,14,10,ips,learning_rate:10.0,epsilon:0.1:ips,0.8825,2000,76,0.8825
1270,11,3,ips,learning_rate:0.03,bag:2:greedify:ips,0.1936,625,4,0.1936
10070,6,26,dr,learning_rate:3.0,cover:8:psi:1.0:dr,0.92755,20000,16,0.92755
10127,6,26,dr,learning_rate:10.0,cover:16:psi:0:dr,0.92665,20000,16,0.92665
9587,6,26,dr,learning_rate:10.0,bag:2:greedify:dr,0.79145,20000,16,0.79145
474,10,4,dr,learning_rate:0.3,cover:4:psi:0.01:nounif:dr,0.135135,148,18,0.135135
2768,12,10,mtr,learning_rate:0.1,cover:8:psi:0.01:nounif:mtr,0.7465,2000,216,0.7465
1877,11,3,mtr,learning_rate:3.0,cover:16:psi:0:mtr,0.2304,625,4,0.2304
3408,14,10,dr,learning_rate:10.0,bag:8:greedify:dr,0.8855,2000,76,0.8855
9504,6,26,ips,learning_rate:3.0,bag:4:ips,0.95045,20000,16,0.95045
367,10,4,ips,learning_rate:0.3,cover:1:nounif:ips,0.182432,148,18,0.182432
