,ds,na,cb_type,lr,algo,loss,sz,nf,rawloss
0,10,4,dr,learning_rate:0.001,epsilon:0:dr,0.304054,148.0,18.0,0.304054
1,10,4,ips,learning_rate:0.001,epsilon:0:ips,0.398649,148.0,18.0,0.398649
2,10,4,mtr,learning_rate:0.001,epsilon:0:mtr,0.344595,148.0,18.0,0.344595
3,10,4,dr,learning_rate:0.003,epsilon:0:dr,0.222973,148.0,18.0,0.222973
4,10,4,ips,learning_rate:0.003,epsilon:0:ips,0.189189,148.0,18.0,0.189189
5,10,4,mtr,learning_rate:0.003,epsilon:0:mtr,0.310811,148.0,18.0,0.310811
6,10,4,dr,learning_rate:0.01,epsilon:0:dr,0.236486,148.0,18.0,0.236486
7,10,4,ips,learning_rate:0.01,epsilon:0:ips,0.236486,148.0,18.0,0.236486
8,10,4,mtr,learning_rate:0.01,epsilon:0:mtr,0.331081,148.0,18.0,0.331081
9,10,4,dr,learning_rate:0.03,epsilon:0:dr,0.216216,148.0,18.0,0.216216
10,10,4,ips,learning_rate:0.03,epsilon:0:ips,0.22973,148.0,18.0,0.22973
11,10,4,mtr,learning_rate:0.03,epsilon:0:mtr,0.195946,148.0,18.0,0.195946
12,10,4,dr,learning_rate:0.1,epsilon:0:dr,0.162162,148.0,18.0,0.162162
13,10,4,ips,learning_rate:0.1,epsilon:0:ips,0.256757,148.0,18.0,0.256757
14,10,4,mtr,learning_rate:0.1,epsilon:0:mtr,0.182432,148.0,18.0,0.182432
15,10,4,dr,learning_rate:0.3,epsilon:0:dr,0.148649,148.0,18.0,0.148649
16,10,4,ips,learning_rate:0.3,epsilon:0:ips,0.182432,148.0,18.0,0.182432
17,10,4,mtr,learning_rate:0.3,epsilon:0:mtr,0.148649,148.0,18.0,0.148649
18,10,4,dr,learning_rate:1.0,epsilon:0:dr,0.162162,148.0,18.0,0.162162
19,10,4,ips,learning_rate:1.0,epsilon:0:ips,0.202703,148.0,18.0,0.202703
20,10,4,mtr,learning_rate:1.0,epsilon:0:mtr,0.162162,148.0,18.0,0.162162
21,10,4,dr,learning_rate:3.0,epsilon:0:dr,0.148649,148.0,18.0,0.148649
22,10,4,ips,learning_rate:3.0,epsilon:0:ips,0.22973,148.0,18.0,0.22973
23,10,4,mtr,learning_rate:3.0,epsilon:0:mtr,0.168919,148.0,18.0,0.168919
24,10,4,dr,learning_rate:10.0,epsilon:0:dr,0.148649,148.0,18.0,0.148649
