algo,lr,loss
bag:4:mtr,learning_rate:1.0,0.7583051428571428
bag:8:mtr,learning_rate:1.0,0.7592064285714286
bag:16:greedify:mtr,learning_rate:1.0,0.7606621428571428
bag:16:mtr,learning_rate:1.0,0.7618815714285715
bag:16:mtr,learning_rate:3.0,0.7623351428571429
bag:4:greedify:mtr,learning_rate:1.0,0.7626305714285714
bag:8:greedify:mtr,learning_rate:1.0,0.7630800000000001
bag:16:greedify:mtr,learning_rate:3.0,0.763905
bag:2:greedify:mtr,learning_rate:1.0,0.764232
bag:4:greedify:mtr,learning_rate:0.3,0.7642345714285714
bag:8:mtr,learning_rate:3.0,0.7642815714285714
bag:8:greedify:mtr,learning_rate:3.0,0.764284
bag:4:mtr,learning_rate:0.3,0.7644805714285715
cover:1:nounif:mtr,learning_rate:1.0,0.7645038571428573
bag:8:mtr,learning_rate:0.3,0.7646512857142856
bag:4:greedify:mtr,learning_rate:3.0,0.765089857142857
bag:4:mtr,learning_rate:3.0,0.7651922857142857
bag:2:greedify:mtr,learning_rate:3.0,0.7652087142857142
bag:2:mtr,learning_rate:0.3,0.7654287142857142
bag:16:mtr,learning_rate:0.3,0.765504
bag:16:greedify:mtr,learning_rate:0.3,0.7656561428571429
epsilon:0:mtr,learning_rate:1.0,0.7656575714285714
bag:8:mtr,learning_rate:10.0,0.7657931428571428
bag:4:mtr,learning_rate:10.0,0.7662620000000001
bag:8:greedify:mtr,learning_rate:0.3,0.7664222857142856
bag:2:mtr,learning_rate:1.0,0.7665745714285714
epsilon:0:mtr,learning_rate:3.0,0.7666942857142857
epsilon:0.02:mtr,learning_rate:3.0,0.7668392857142857
bag:16:greedify:mtr,learning_rate:10.0,0.7668404285714285
cover:1:nounif:mtr,learning_rate:3.0,0.7672082857142859
epsilon:0.05:mtr,learning_rate:3.0,0.7673132857142857
bag:8:greedify:mtr,learning_rate:10.0,0.7673267142857142
cover:1:mtr,learning_rate:3.0,0.767330142857143
bag:2:greedify:mtr,learning_rate:0.3,0.7678564285714286
bag:4:greedify:mtr,learning_rate:10.0,0.7681525714285714
cover:1:nounif:dr,learning_rate:0.3,0.7681687142857143
epsilon:0:dr,learning_rate:0.3,0.7681687142857143
cover:1:nounif:dr,learning_rate:1.0,0.7685722857142856
epsilon:0:dr,learning_rate:1.0,0.7685722857142856
cover:1:nounif:mtr,learning_rate:0.3,0.7685778571428571
epsilon:0:mtr,learning_rate:0.3,0.7688834285714287
bag:16:mtr,learning_rate:10.0,0.7689712857142857
cover:4:psi:0.1:nounif:mtr,learning_rate:0.3,0.7692931428571429
cover:8:psi:0:nounif:dr,learning_rate:1.0,0.76943
cover:4:psi:0.1:nounif:dr,learning_rate:1.0,0.7694874285714287
epsilon:0.05:mtr,learning_rate:1.0,0.7699598571428572
epsilon:0.1:mtr,learning_rate:3.0,0.7699775714285714
cover:4:psi:0.01:nounif:dr,learning_rate:1.0,0.7704735714285714
cover:4:psi:0.01:nounif:mtr,learning_rate:1.0,0.7705162857142858
cover:8:psi:0.1:nounif:dr,learning_rate:1.0,0.7705432857142858
bag:2:mtr,learning_rate:3.0,0.7705527142857141
cover:16:psi:0:nounif:dr,learning_rate:1.0,0.7706044285714285
cover:16:psi:0:nounif:dr,learning_rate:0.3,0.7707437142857143
cover:16:psi:0.1:nounif:dr,learning_rate:0.3,0.7707452857142856
cover:8:psi:0:nounif:dr,learning_rate:0.3,0.7708347142857143
cover:16:psi:0.01:nounif:dr,learning_rate:0.3,0.7710695714285715
cover:4:psi:0.01:nounif:mtr,learning_rate:0.3,0.7710852857142857
cover:4:psi:0:nounif:dr,learning_rate:1.0,0.771124
cover:1:mtr,learning_rate:10.0,0.7712104285714287
bag:2:dr,learning_rate:0.3,0.7712652857142859
cover:8:psi:0.1:nounif:mtr,learning_rate:0.3,0.771303
cover:4:psi:0.1:nounif:dr,learning_rate:0.3,0.7713585714285714
cover:4:psi:0:nounif:mtr,learning_rate:0.3,0.7714087142857142
cover:4:psi:0:nounif:mtr,learning_rate:1.0,0.7714531428571428
epsilon:0.02:mtr,learning_rate:1.0,0.7715095714285715
cover:1:mtr,learning_rate:1.0,0.771552
epsilon:0.05:mtr,learning_rate:0.3,0.7715625714285714
epsilon:0.05:mtr,learning_rate:10.0,0.7715872857142856
bag:2:mtr,learning_rate:10.0,0.771604142857143
cover:4:psi:0:nounif:dr,learning_rate:0.3,0.7716482857142857
epsilon:0.1:mtr,learning_rate:10.0,0.7718438571428571
cover:16:psi:0.01:nounif:mtr,learning_rate:1.0,0.772023
cover:16:psi:0.01:nounif:dr,learning_rate:1.0,0.7720322857142857
bag:2:dr,learning_rate:1.0,0.7720398571428572
epsilon:0.02:mtr,learning_rate:10.0,0.7720508571428573
cover:4:psi:0.01:nounif:dr,learning_rate:0.3,0.772277
cover:4:psi:0.1:nounif:mtr,learning_rate:1.0,0.7723515714285715
cover:8:psi:0.1:nounif:dr,learning_rate:0.3,0.7723622857142856
epsilon:0.1:mtr,learning_rate:1.0,0.7724385714285715
cover:16:psi:0.1:nounif:dr,learning_rate:1.0,0.7726575714285714
cover:8:psi:0.01:nounif:mtr,learning_rate:0.3,0.7729798571428572
cover:8:psi:0.01:nounif:dr,learning_rate:0.3,0.7730464285714286
cover:8:psi:0.01:nounif:dr,learning_rate:1.0,0.7732677142857144
bag:2:greedify:mtr,learning_rate:10.0,0.7735008571428572
epsilon:0.1:mtr,learning_rate:0.3,0.7741448571428572
cover:1:nounif:mtr,learning_rate:10.0,0.7745578571428572
epsilon:0.02:mtr,learning_rate:0.3,0.7746894285714286
cover:1:nounif:dr,learning_rate:0.1,0.7747388571428572
epsilon:0:dr,learning_rate:0.1,0.7747388571428572
cover:8:psi:0.01:nounif:mtr,learning_rate:1.0,0.775006
bag:2:dr,learning_rate:3.0,0.7752171428571428
cover:8:psi:0.1:nounif:mtr,learning_rate:1.0,0.7753892857142857
cover:16:psi:0.1:nounif:mtr,learning_rate:1.0,0.7757475714285714
epsilon:0:mtr,learning_rate:10.0,0.7758258571428572
epsilon:0:dr,learning_rate:3.0,0.7758705714285714
cover:1:nounif:dr,learning_rate:3.0,0.7758705714285714
cover:8:psi:0.1:nounif:mtr,learning_rate:0.1,0.7760032857142856
bag:16:greedify:mtr,learning_rate:0.1,0.7763405714285715
bag:8:greedify:mtr,learning_rate:0.1,0.7764048571428571
cover:8:psi:0.01:nounif:mtr,learning_rate:0.1,0.7764737142857143
bag:8:mtr,learning_rate:0.1,0.7764810000000001
cover:4:psi:0.1:nounif:dr,learning_rate:0.1,0.7764842857142858
bag:4:dr,learning_rate:3.0,0.7765694285714285
cover:8:psi:0.1:nounif:mtr,learning_rate:3.0,0.7768124285714286
cover:8:psi:0:nounif:dr,learning_rate:3.0,0.7768208571428572
cover:8:psi:0:nounif:mtr,learning_rate:0.3,0.7768560000000001
cover:16:psi:0.01:nounif:dr,learning_rate:3.0,0.7769774285714285
cover:1:mtr,learning_rate:0.3,0.7771107142857143
bag:4:greedify:mtr,learning_rate:0.1,0.777196
bag:2:dr,learning_rate:10.0,0.777248
cover:4:psi:0.01:nounif:mtr,learning_rate:3.0,0.7772661428571429
bag:2:mtr,learning_rate:0.1,0.7772947142857143
cover:16:psi:0.1:nounif:mtr,learning_rate:3.0,0.777361
bag:2:greedify:dr,learning_rate:1.0,0.7774394285714286
bag:4:mtr,learning_rate:0.1,0.7776427142857143
cover:8:psi:0:nounif:mtr,learning_rate:1.0,0.7777674285714286
cover:16:psi:0.1:nounif:dr,learning_rate:3.0,0.7778361428571429
