,ds,na,cb_type,lr,algo,loss,sz,nf,rawloss
0,mslr1,10,dr,learning_rate:0.001,epsilon:0:dr,0.892062,,,0.892062
1,mslr1,10,ips,learning_rate:0.001,epsilon:0:ips,0.856313,,,0.856313
2,mslr1,10,mtr,learning_rate:0.001,epsilon:0:mtr,0.892563,,,0.892563
3,mslr1,10,dr,learning_rate:0.003,epsilon:0:dr,0.8915,,,0.8915
4,mslr1,10,ips,learning_rate:0.003,epsilon:0:ips,0.847562,,,0.847562
5,mslr1,10,mtr,learning_rate:0.003,epsilon:0:mtr,0.892125,,,0.892125
6,mslr1,10,dr,learning_rate:0.01,epsilon:0:dr,0.8895,,,0.8895
7,mslr1,10,ips,learning_rate:0.01,epsilon:0:ips,0.850812,,,0.850812
8,mslr1,10,mtr,learning_rate:0.01,epsilon:0:mtr,0.891687,,,0.891687
9,mslr1,10,dr,learning_rate:0.03,epsilon:0:dr,0.866187,,,0.866187
10,mslr1,10,ips,learning_rate:0.03,epsilon:0:ips,0.848375,,,0.848375
11,mslr1,10,mtr,learning_rate:0.03,epsilon:0:mtr,0.869687,,,0.869687
12,mslr1,10,dr,learning_rate:0.1,epsilon:0:dr,0.844125,,,0.844125
13,mslr1,10,ips,learning_rate:0.1,epsilon:0:ips,0.847187,,,0.847187
14,mslr1,10,mtr,learning_rate:0.1,epsilon:0:mtr,0.842375,,,0.842375
15,mslr1,10,dr,learning_rate:0.3,epsilon:0:dr,0.828125,,,0.828125
16,mslr1,10,ips,learning_rate:0.3,epsilon:0:ips,0.851313,,,0.851313
17,mslr1,10,mtr,learning_rate:0.3,epsilon:0:mtr,0.83,,,0.83
18,mslr1,10,dr,learning_rate:1.0,epsilon:0:dr,0.826125,,,0.826125
19,mslr1,10,ips,learning_rate:1.0,epsilon:0:ips,0.851437,,,0.851437
20,mslr1,10,mtr,learning_rate:1.0,epsilon:0:mtr,0.826937,,,0.826937
21,mslr1,10,dr,learning_rate:3.0,epsilon:0:dr,0.83025,,,0.83025
22,mslr1,10,ips,learning_rate:3.0,epsilon:0:ips,0.852313,,,0.852313
23,mslr1,10,mtr,learning_rate:3.0,epsilon:0:mtr,0.823625,,,0.823625
24,mslr1,10,dr,learning_rate:10.0,epsilon:0:dr,0.846938,,,0.846938
25,mslr1,10,ips,learning_rate:10.0,epsilon:0:ips,0.849063,,,0.849063
26,mslr1,10,mtr,learning_rate:10.0,epsilon:0:mtr,0.834313,,,0.834313
27,mslr1,10,dr,learning_rate:0.001,epsilon:0.02:dr,0.893312,,,0.893312
28,mslr1,10,ips,learning_rate:0.001,epsilon:0.02:ips,0.88925,,,0.88925
29,mslr1,10,mtr,learning_rate:0.001,epsilon:0.02:mtr,0.891,,,0.891
30,mslr1,10,dr,learning_rate:0.003,epsilon:0.02:dr,0.892437,,,0.892437
31,mslr1,10,ips,learning_rate:0.003,epsilon:0.02:ips,0.88775,,,0.88775
